,$,OPERACION,comma,id,function,lparen,rparen,rb,lb,plus,minor,divide,multi,percent,power,var,const,let,TRUE,FALSE,number,string,assynament,menorequal,greaterequal,equality,distinct,greater,and,or,if,CONDICIONALELSEIF,else,for,semicolon,while
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,S ::= PROGMAIN $,S ::= PROGMAIN $,,S ::= PROGMAIN $,S ::= PROGMAIN $,,,,,,,,,,,S ::= PROGMAIN $,S ::= PROGMAIN $,S ::= PROGMAIN $,S ::= PROGMAIN $,S ::= PROGMAIN $,S ::= PROGMAIN $,S ::= PROGMAIN $,,,,,,,,,S ::= PROGMAIN $,,,S ::= PROGMAIN $,,S ::= PROGMAIN $
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROGMAIN,PROGMAIN ::= '',PROGMAIN ::= OPERACION PROGMAIN,,PROGMAIN ::= COMPARACION PROGMAIN,PROGMAIN ::= FUNCION PROGMAIN,,,PROGMAIN ::= '',PROGMAIN ::= '',,,,,,,PROGMAIN ::= ASIGNACION PROGMAIN,PROGMAIN ::= ASIGNACION PROGMAIN,PROGMAIN ::= ASIGNACION PROGMAIN,PROGMAIN ::= COMPARACION PROGMAIN,PROGMAIN ::= COMPARACION PROGMAIN,PROGMAIN ::= COMPARACION PROGMAIN,PROGMAIN ::= COMPARACION PROGMAIN,,,,,,,,,PROGMAIN ::= CONDICIONAL PROGMAIN,,,PROGMAIN ::= PARA PROGMAIN,,PROGMAIN ::= MIENTRAS PROGMAIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETROS,,,PARAMETROS ::= comma id PARAMETROS,,,,PARAMETROS ::= '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCION,,,,,FUNCION ::= function id lparen id PARAMETROS rparen CUERPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUERPO,,,,,,,,CUERPO ::= rb PROGMAIN lb,CUERPO ::= lb PROGMAIN rb CUERPOFACT,,,,,,,,,,,,,,,,,,,,,,CUERPO ::= CONDICIONAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERADORES,,,,,,,,,,OPERADORES ::= plus,OPERADORES ::= minor,OPERADORES ::= divide,OPERADORES ::= multi,OPERADORES ::= percent,OPERADORES ::= power,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPEVAR,,,,,,,,,,,,,,,,TYPEVAR ::= var,TYPEVAR ::= const,TYPEVAR ::= let,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOL,,,,,,,,,,,,,,,,,,,BOOL ::= true,BOOL ::= false,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPEFACT,,,,TYPEFACT ::= id,,,,,,,,,,,,,,,TYPEFACT ::= BOOL,TYPEFACT ::= BOOL,TYPEFACT ::= number,TYPEFACT ::= string,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESION,,,,EXPRESION ::= TYPEFACT EXPRESIONFACT,,,,,,,,,,,,,,,EXPRESION ::= TYPEFACT EXPRESIONFACT,EXPRESION ::= TYPEFACT EXPRESIONFACT,EXPRESION ::= TYPEFACT EXPRESIONFACT,EXPRESION ::= TYPEFACT EXPRESIONFACT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESIONFACT,EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',,EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',,EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',EXPRESIONFACT ::= OPERADORES EXPRESION,EXPRESIONFACT ::= OPERADORES EXPRESION,EXPRESIONFACT ::= OPERADORES EXPRESION,EXPRESIONFACT ::= OPERADORES EXPRESION,EXPRESIONFACT ::= OPERADORES EXPRESION,EXPRESIONFACT ::= OPERADORES EXPRESION,EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',,,,,,,,,EXPRESIONFACT ::= '',,,EXPRESIONFACT ::= '',EXPRESIONFACT ::= '',EXPRESIONFACT ::= ''
